,Grand_Parent_Folder,File_name,GT_Label,Prediction_Label,IoU,f1_score
63,upsampling_4,pos2_fr_60.tif,mask,mask,0.7599277184239164,0.8635896923135697
64,upsampling_4,pos2_fr_1.tif,mask,mask,0.7450165317178699,0.8538790529215713
65,upsampling_4,pos7_fr_1.tif,mask,mask,0.7019142872957275,0.8248526879823551
66,upsampling_4,pos5_fr_80.tif,mask,mask,0.5990771143853841,0.7492785794957029
67,upsampling_4,pos2_fr_20.tif,mask,mask,0.7407537208914651,0.8510723969753912
68,upsampling_4,pos2_fr_40.tif,mask,mask,0.7376814600185624,0.8490410664917635
69,upsampling_4,pos7_fr_60.tif,mask,mask,0.6802333773562825,0.809689161664646
70,upsampling_4,pos5_fr_40.tif,mask,mask,0.5537851430455932,0.712820746837767
71,upsampling_4,pos5_fr_20.tif,mask,mask,0.5065537545983,0.6724668841748233
72,upsampling_4,pos7_fr_40.tif,mask,mask,0.6299156870881404,0.7729426645540061
73,upsampling_4,pos5_fr_60.tif,mask,mask,0.5014235458581472,0.6679308410226852
74,upsampling_4,pos7_fr_20.tif,mask,mask,0.6412619583838617,0.781425481908211
