,Grand_Parent_Folder,File_name,GT_Label,Prediction_Label,IoU,f1_score
0,OG,pos7_fr_80.tif,1,1,0.7624056261007722,0.8651874628743143
1,OG,pos7_fr_80.tif,2,2,0.3597168303265586,0.5291055053575627
2,OG,pos7_fr_80.tif,ALL,ALL,0.5610612282136654,0.6971464841159385
3,OG,pos2_fr_80.tif,1,1,0.7893727844896188,0.8822899189391336
4,OG,pos2_fr_80.tif,2,2,0.3379917298719678,0.505222449923977
5,OG,pos2_fr_80.tif,ALL,ALL,0.5636822571807933,0.6937561844315553
6,OG,pos5_fr_1.tif,1,1,0.7390857729840781,0.8499704666272888
7,OG,pos5_fr_1.tif,2,2,0.35763630566478904,0.5268514169406607
8,OG,pos5_fr_1.tif,ALL,ALL,0.5483610393244336,0.6884109417839748
9,OG,pos2_fr_60.tif,1,1,0.7986156682603669,0.8880337054250098
10,OG,pos2_fr_60.tif,2,2,0.33683350834208375,0.5039273869785302
11,OG,pos2_fr_60.tif,ALL,ALL,0.5677245883012253,0.6959805462017701
12,OG,pos2_fr_1.tif,1,1,0.838207699773536,0.9119836674351889
13,OG,pos2_fr_1.tif,2,2,0.36044103313840153,0.529888505798594
14,OG,pos2_fr_1.tif,ALL,ALL,0.5993243664559688,0.7209360866168915
15,OG,pos7_fr_1.tif,1,1,0.8202716490243591,0.901262896078191
16,OG,pos7_fr_1.tif,2,2,0.40002514300081715,0.5714542270910968
17,OG,pos7_fr_1.tif,ALL,ALL,0.6101483960125882,0.736358561584644
18,OG,pos5_fr_80.tif,1,1,0.7095048612935921,0.8300705980522404
19,OG,pos5_fr_80.tif,2,2,0.35251145009273627,0.5212694503526251
20,OG,pos5_fr_80.tif,ALL,ALL,0.5310081556931642,0.6756700242024327
21,OG,pos2_fr_20.tif,1,1,0.7847845380140026,0.879416558468466
22,OG,pos2_fr_20.tif,2,2,0.33682830930537355,0.503921568627451
23,OG,pos2_fr_20.tif,ALL,ALL,0.5608064236596881,0.6916690635479585
24,OG,pos2_fr_40.tif,1,1,0.7834558968107279,0.8785817448154968
25,OG,pos2_fr_40.tif,2,2,0.33107258525433414,0.4974523386958264
26,OG,pos2_fr_40.tif,ALL,ALL,0.557264241032531,0.6880170417556616
27,OG,pos7_fr_60.tif,1,1,0.7776354400965249,0.8749099197238097
28,OG,pos7_fr_60.tif,2,2,0.3675042664626611,0.5374817109906188
29,OG,pos7_fr_60.tif,ALL,ALL,0.572569853279593,0.7061958153572143
30,OG,pos5_fr_40.tif,1,1,0.7423591658885776,0.8521310421206817
