Grand_Parent_Folder,File_name,GT_Pixel_Coverage_Percent,Prediction_Pixel_Coverage_Percent,IoU,f1_score,GT_diameter_min,GT_diameter_max,GT_diameter_mean,GT_diameter_median,GT_area,GT_area_filled,GT_perimeter,GT_Circularity,GT_Filledness,pred_diameter_min,pred_diameter_max,pred_diameter_mean,pred_diameter_median,pred_area,pred_area_filled,pred_perimeter,pred_Circularity,pred_Filledness,GT_count,pred_count,true_positives_count,false_negatives_count,false_positives_count,Sensitivity,Accuracy,Dimensions
OG,pos2_fr_1.tif,0.0087632354305315,0.0018760318174996,0.4192259150189314,0.4560640732265446,2.0,9.029986668237004,6.5627129854237065,6.830951894845301,18597.5,33405.0,7010.813813629344,0.0052558703874537,0.595997489905053,2.0,14.0,10.37885278602745,10.770329614269007,26652.0,26652.0,6194.131706210435,0.008729287505147,1.0,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
OG,pos2_fr_20.tif,0.0069360412467428,0.0015411170016027,0.3926536250832573,0.4398723245498888,2.0,9.476471310671643,6.732869129915269,7.0,24362.0,44051.0,8769.223589302472,0.004333058125352,0.5911856816109984,2.0,14.0,9.934104321270503,10.0,32444.0,32524.0,7700.279071936799,0.0068759280982755,0.9975402779485918,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
OG,pos2_fr_40.tif,0.0055819930677095,0.001223002225864,0.392546106557377,0.4398048500502224,2.0,9.958217307690626,6.595215794865188,6.830951894845301,30320.0,55145.5,10974.733959773364,0.0034384843992654,0.5900970773101121,2.0,14.0,9.862826177087134,10.0,40883.0,40885.0,9770.796062072364,0.0053813683916006,0.9999510823040236,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
OG,pos2_fr_60.tif,0.0043113841177004,0.0009554018420147,0.3995637966886071,0.4441750525748649,2.0,9.660424813608415,6.389289736114491,6.656854249492381,38483.5,69953.5,14341.283525222028,0.0025451895581031,0.5921696380753876,2.0,14.142135623730953,9.49875461453674,10.0,52334.0,52334.0,12825.17005003242,0.0039982277560841,1.0,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
OG,pos2_fr_80.tif,0.003271294886072,0.0007448012870166,0.3950770010620836,0.4413888420697792,2.0,9.476471310671643,6.147855207762726,6.385164807134504,50011.0,91615.5,18954.49970264644,0.001884133903296,0.5922488854230326,2.0,13.41640786499874,9.067752760749348,10.0,67132.0,67136.0,16854.608142598154,0.0029696285511806,0.9999404194470924,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
OG,pos5_fr_1.tif,0.0134847646838778,0.0034039076860235,0.369542886492039,0.4249852333136444,2.0,8.280109889280517,6.690382945404557,7.0,11884.0,21464.0,4440.1140135958585,0.0084479848249304,0.5967504314517826,2.0,14.0,9.605309574002607,10.198039027185567,14689.0,14697.0,3590.704940401743,0.0143166911575123,0.99945567122542,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
OG,pos5_fr_20.tif,0.0107505302291224,0.002771925934139,0.3503377177390686,0.4119983277591973,2.0,9.414213562373096,6.740126920551219,7.0,15365.5,27576.5,5574.356221007089,0.0067769732230353,0.5947059332695699,2.0,14.0,9.634151751660132,10.198039027185567,18038.0,18041.0,4420.547652876363,0.0115996822692232,0.9998337121002162,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
OG,pos5_fr_40.tif,0.0083096607879503,0.0020557519940794,0.3711795829442888,0.4260655210603408,2.0,9.414213562373096,6.599479015913921,6.830951894845301,19544.5,35140.5,7184.848734790639,0.0052595416955106,0.5961383425988043,2.0,13.41640786499874,9.405555139327245,10.0,24322.0,24359.0,5996.175249343081,0.0085008139903656,0.9984810542304692,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
OG,pos5_fr_60.tif,0.0064135611736707,0.0018514404206472,0.3181426931905126,0.3888596645040622,2.0,9.660424813608415,6.488654238734984,6.830951894845301,25516.5,45872.0,9375.645901825934,0.0039802252477166,0.5954001826544908,2.0,14.0,8.93148778715762,10.0,27006.0,27036.0,6950.62413025961,0.0070246148885978,0.998890368397692,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
OG,pos5_fr_80.tif,0.004976713617426,0.0013000182002548,0.3548923146253074,0.4151310153967801,2.0,9.029986668237004,6.264710262252513,6.385164807134504,32508.0,58760.5,12082.903007331675,0.0030104543690717,0.5955703160868124,2.0,13.41640786499874,8.789154516130537,10.0,38461.0,38461.0,10060.825499323884,0.004774888152261,1.0,2,2,1,0,1,1.0,0.5,"[1024, 1024]"
