,Grand_Parent_Folder,File_name,GT_Label,Prediction_Label,GT_Pixel_Coverage_Percent,Prediction_Pixel_Coverage_Percent,IoU,f1_score,GT_diameter_min,GT_diameter_max,GT_diameter_mean,GT_diameter_median,GT_area,GT_area_filled,GT_perimeter,GT_Circularity,GT_Filledness,pred_diameter_min,pred_diameter_max,pred_diameter_mean,pred_diameter_median,pred_area,pred_area_filled,pred_perimeter,pred_Circularity,pred_Filledness
0,OG,pos7_fr_80.tif,1,1,0.0012517211165352358,0.0015821533106558027,0.7624056261007722,0.8651874628743143,2.0,16.0,10.296374936319495,10.198039027185569,79890,79890,17891.55641077004,0.0031362165409124006,1.0,2.0,12.806248474865697,8.930968973769604,8.94427190999916,63205.0,63206.0,16271.692270270616,0.0029998245507766737,0.9999841787172103
1,OG,pos7_fr_80.tif,2,0,0.005122688386865427,0.0,0.0,0.0,2.0,2.8284271247461903,2.0046827573262886,2.0,19521,100728,20218.689280885814,0.0006000755464004379,0.19379914224446032,,,,,,,,,
2,OG,pos2_fr_80.tif,1,1,0.0012316332688778588,0.0014896025740332478,0.7901540021241672,0.8827776841395584,2.0,16.1245154965971,10.292264820240803,10.770329614269007,81193,81196,17923.968711760113,0.0031758508506228157,0.9999630523671117,2.0,13.416407864998739,9.067752760749347,10.0,67132.0,67136.0,16854.608142598154,0.002969628551180619,0.9999404194470924
3,OG,pos2_fr_80.tif,2,0,0.005310956503266238,0.0,0.0,0.0,2.0,2.8284271247461903,2.0034455952846497,2.0,18829,102035,19985.030693532768,0.0005924169559692707,0.1845347184789533,,,,,,,,,
4,OG,pos5_fr_1.tif,1,1,0.0052162119868551455,0.006807815372047111,0.7390857729840781,0.8499704666272888,2.0,14.560219778561036,11.380765890809114,12.0,19171,19171,4093.855264720937,0.014374397896226401,1.0,2.0,14.0,9.605309574002609,10.198039027185569,14689.0,14697.0,3590.704940401743,0.014316691157512365,0.9994556712254201
5,OG,pos5_fr_1.tif,2,0,0.021753317380900587,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4597,23757,4786.37276247078,0.0025215717536344264,0.19350086290356527,,,,,,,,,
6,OG,pos2_fr_60.tif,1,1,0.0015938795027095952,0.001910803684029503,0.7991275933772143,0.8883501051497298,2.0,16.492422502470642,10.775236231772633,11.313708498984761,62740,62742,13520.883866212653,0.004312649995578844,0.9999681234260942,2.0,14.142135623730951,9.49875461453674,10.0,52334.0,52334.0,12825.170050032419,0.003998227756084183,1.0
7,OG,pos2_fr_60.tif,2,0,0.007028888732691362,0.0,0.0,0.0,2.0,2.8284271247461903,2.003343240456349,2.0,14227,77165,15161.683184231406,0.0007777291206274957,0.18437115272468088,,,,,,,,,
8,OG,pos2_fr_1.tif,1,1,0.0033158697526361166,0.0037520636349992497,0.8384518300378628,0.9121281464530893,2.0,15.231546211727817,11.125282792982784,11.661903789690601,30158,30158,6509.056633785212,0.008944916697051912,1.0,2.0,14.0,10.37885278602745,10.770329614269007,26652.0,26652.0,6194.131706210435,0.00872928750514701,1.0
9,OG,pos2_fr_1.tif,2,0,0.014210601108426887,0.0,0.0,0.0,2.0,2.8284271247461903,2.0001431778646297,2.0,7037,36652,7512.570993473476,0.0015668240778555949,0.19199497981010585,,,,,,,,,
10,OG,pos7_fr_1.tif,1,1,0.003234152652005175,0.0038220455587830607,0.8204547628918583,0.9013734146170556,2.0,15.620499351813308,11.37312035004418,11.661903789690601,30920,30920,6609.180479445714,0.008895167415041155,1.0,2.0,13.416407864998739,10.070939737469953,10.770329614269007,26164.0,26193.0,6214.343863625504,0.008513799982446545,0.9988928339632727
11,OG,pos7_fr_1.tif,2,0,0.013495276653171389,0.0,0.0,0.0,2.0,2.8284271247461903,2.0007040856066176,2.0,7410,37852,7727.3130214159555,0.0015594485884717606,0.1957624431998309,,,,,,,,,
12,OG,pos5_fr_80.tif,1,1,0.0019012491206722817,0.0026000364005096073,0.7097846292506149,0.8302620307935602,2.0,15.231546211727817,10.52080327608563,10.770329614269007,52597,52606,11430.54855022011,0.005058673998200397,0.9998289168535909,2.0,13.416407864998739,8.789154516130537,10.0,38461.0,38461.0,10060.825499323884,0.004774888152261041,1.0
13,OG,pos5_fr_80.tif,2,0,0.008052178114179884,0.0,0.0,0.0,2.0,2.8284271247461903,2.008617248419396,2.0,12419,64915,12735.257464443239,0.0009622347399430081,0.19131171532003388,,,,,,,,,
14,OG,pos2_fr_20.tif,1,1,0.00250457084178626,0.003082234003205523,0.7853072501665146,0.8797446490997776,2.0,16.1245154965971,11.46356120376274,12.0,39927,39938,8241.364425098536,0.007387173623337399,0.9997245730882869,2.0,14.0,9.934104321270503,10.0,32444.0,32524.0,7700.279071936799,0.006875928098275595,0.9975402779485918
15,OG,pos2_fr_20.tif,2,0,0.011367511651699443,0.0,0.0,0.0,2.0,2.8284271247461903,2.0021770560677976,2.0,8797,48164,9297.082753506407,0.0012789426273667256,0.18264679013370982,,,,,,,,,
16,OG,pos2_fr_40.tif,1,1,0.0020115058132518003,0.0024460044517281023,0.7850922131147541,0.8796097001004448,2.0,17.08800749063506,11.189334819485788,11.661903789690601,49714,49724,10324.219510350726,0.005861032267866415,0.999798889872094,2.0,14.0,9.862826177087134,10.0,40883.0,40885.0,9770.796062072364,0.005381368391600671,0.9999510823040235
17,OG,pos2_fr_40.tif,2,0,0.009152480322167308,0.0,0.0,0.0,2.0,2.8284271247461903,2.001096770244589,2.0,10926,60567,11625.248409196,0.0010159365306645423,0.18039526474813017,,,,,,,,,
18,OG,pos7_fr_60.tif,1,1,0.0015120129428307905,0.0018796639160918028,0.7776354400965249,0.8749099197238097,2.0,16.1245154965971,11.01283558376847,11.313708498984761,66137,66141,13982.85652100218,0.004250720530141108,0.9999395231399586,2.0,13.416407864998739,9.457019557030852,10.0,53201.0,53247.0,12953.177192707357,0.003984529501494308,0.9991361015644074
19,OG,pos7_fr_60.tif,2,0,0.006496881496881497,0.0,0.0,0.0,2.0,2.8284271247461903,2.003900062762604,2.0,15392,81567,16032.404830169602,0.0007525018596696888,0.18870376500300368,,,,,,,,,
20,OG,pos5_fr_40.tif,1,1,0.003158559696778269,0.004111503988158869,0.7423591658885776,0.8521310421206817,2.0,16.0,11.198126834043817,11.661903789690601,31660,31663,6669.255551870937,0.008944705713372757,0.9999052521870954,2.0,13.416407864998739,9.405555139327243,10.0,24322.0,24359.0,5996.175249343081,0.008500813990365683,0.9984810542304692
21,OG,pos5_fr_40.tif,2,0,0.013460761879122358,0.0,0.0,0.0,2.0,2.8284271247461903,2.0008311977840263,2.0,7429,38618,7700.441917710341,0.0015743776776485565,0.19237143301051324,,,,,,,,,
