,Grand_Parent_Folder,File_name,GT_Pixel_Coverage_Percent,Prediction_Pixel_Coverage_Percent,IoU,f1_score,GT_diameter_min,GT_diameter_max,GT_diameter_mean,GT_diameter_median,GT_area,GT_area_filled,GT_perimeter,GT_Circularity,GT_Filledness,pred_diameter_min,pred_diameter_max,pred_diameter_mean,pred_diameter_median,pred_area,pred_area_filled,pred_perimeter,pred_Circularity,pred_Filledness,GT_count,pred_count,true_positives_count,false_negatives_count,false_positives_count,Sensitivity,Accuracy
0,OG,1.tif,0.06065503546207727,0.05127781276862104,0.9166531974435086,0.9367277033885519,43.10706579021521,45.92549131617458,44.75046848401988,44.92064132929119,1878.6146645865836,1878.6146645865836,160.00017909669174,0.9041623195322535,1.0,44.7834823419702,46.95307247755696,45.99970208678061,46.110111985098534,1928.057003257329,1928.057003257329,161.96379290767564,0.917414275959299,1.0,641,614,614,27,0,0.9578783151326054,0.9578783151326054
1,OG,10.tif,0.10892252383486739,0.09449042038203724,0.8720372139485116,0.9179325609443442,30.058157376756107,32.561350154627675,31.515064210858256,31.674360200686277,994.4739726027398,994.4739726027398,115.11498826495432,0.930302883159366,1.0,31.36435303365695,34.005453061601145,32.85097396493432,32.97552854382592,1050.9096045197741,1050.9096045197741,118.83997392805317,0.9299732837937308,1.0,365,354,354,9,0,0.9752066115702479,0.9752066115702479
2,OG,11.tif,0.059373798128154645,0.052283939432520014,0.9149882149984574,0.9364491022561015,43.24660267557856,45.81857660526947,44.71859848013868,44.85736662053963,1865.759223300971,1865.759223300971,159.46209589807603,0.9064545186292536,1.0,44.462402528085356,46.52269700688903,45.60546548290771,45.70934345366888,1895.9534412955466,1895.9534412955466,160.54470914447873,0.9179800408200114,1.0,515,496,494,19,2,0.9629629629629629,0.9592233009708738
3,OG,12.tif,0.05785346988303458,0.053726677964394995,0.9299879816181853,0.9520545720677018,43.13982516552739,45.80605857978344,44.69035501709567,44.864441854869185,1858.663516068053,1858.663516068053,159.46653863677773,0.9065555455975459,1.0,44.18174989076941,46.210085766655375,45.316244194250665,45.43292298825205,1873.625968992248,1873.625968992248,159.6327634505935,0.9176236247267953,1.0,529,516,516,13,0,0.9754253308128544,0.9754253308128544
4,OG,13.tif,0.05939074674408757,0.05330985010114192,0.9166479776928821,0.9392170251047243,43.113994790361836,45.75306064360521,44.6241703038163,44.79676062792181,1845.2064777327935,1845.2064777327935,158.57022383247389,0.9077158935171648,1.0,44.13748603341205,46.25826832547309,45.32791559276401,45.45806336602688,1872.68487394958,1872.68487394958,159.48177837622072,0.9180709529415443,1.0,247,238,238,9,0,0.9635627530364372,0.9635627530364372
5,OG,14.tif,0.06103653898481952,0.05337915775064228,0.9173807688780606,0.9389348332147291,42.48076477080109,45.29478198599437,44.125572884245834,44.29608516326414,1822.7140255009108,1822.7140255009108,157.6446944432323,0.9063725353746098,1.0,43.8759180801667,46.03787587924,45.10396968936554,45.21524510656609,1855.2234848484848,1855.2234848484848,158.8880855800172,0.9173811739028617,1.0,549,528,528,21,0,0.9617486338797814,0.9617486338797814
6,OG,14b.tif,0.1081177007563395,0.09328556826292939,0.862145537751037,0.9048671137665765,30.427901551212614,32.86991270049195,31.853567973450968,32.03169244542008,988.3193717277487,988.3193717277487,114.68080196493868,0.9318615271898966,1.0,31.103593402963003,33.757891513052165,32.60480596438259,32.773981473186154,1043.7252747252746,1043.7252747252746,118.53204289142315,0.9288328175865914,1.0,191,182,182,9,0,0.9528795811518325,0.9528795811518325
7,OG,15.tif,0.10825357556347756,0.09414431982539363,0.8721049647076948,0.9145147079267233,29.252669283784524,32.25237953039804,31.03189942365425,31.190336650935187,984.255172413793,984.255172413793,114.82113094290253,0.9253267431364105,1.0,31.43278854993896,33.86875559171838,32.80057475136089,32.90967848083889,1052.731182795699,1052.731182795699,118.89141278217159,0.9296326686772882,1.0,290,279,279,9,0,0.96875,0.96875
8,OG,16.tif,0.10985909435031169,0.0951182227720123,0.8579600172361334,0.9070305021938956,29.606141831320578,32.62934511195086,31.399091817574188,31.58888771117095,998.4401197604791,998.4401197604791,115.38054867867834,0.9293375972011071,1.0,30.7453048682052,33.72511863108838,32.38931606434513,32.5138449632307,1044.4844720496894,1044.4844720496894,118.84051175188989,0.924799187120196,1.0,334,320,67,10,1,0.8701298701298701,0.8589743589743589
9,OG,18.tif,0.10913501920597783,0.09697125152625653,0.8748237941961737,0.9226128927621277,29.571344256525713,32.18143655943935,31.108839283235657,31.283357356950024,962.5372750642673,962.5372750642673,113.33495858618491,0.9313151502814944,1.0,31.410457119590255,33.84272439644928,32.771040580176404,32.88543370497994,1034.7526315789473,1034.7526315789473,117.84136717996905,0.9305712533559825,1.0,389,381,380,8,1,0.979381443298969,0.9768637532133676
