Grand_Parent_Folder,File_name,GT_Pixel_Coverage_Percent,Prediction_Pixel_Coverage_Percent,IoU,f1_score,GT_diameter_min,GT_diameter_max,GT_diameter_mean,GT_diameter_median,GT_area,GT_area_filled,GT_perimeter,GT_Circularity,GT_Filledness,pred_diameter_min,pred_diameter_max,pred_diameter_mean,pred_diameter_median,pred_area,pred_area_filled,pred_perimeter,pred_Circularity,pred_Filledness,GT_count,pred_count,true_positives_count,false_negatives_count,false_positives_count,Sensitivity,Accuracy,Dimensions
OG,10.tif,0.1089225238348673,0.097212620699511,0.8834742882664641,0.931508046903958,30.058157376756107,32.561350154627675,31.515064210858256,31.674360200686277,994.4739726027398,994.4739726027398,115.11498826495432,0.930302883159366,1.0,31.19479227320447,33.81877044682222,32.69197843229178,32.849207548724515,1047.088888888889,1047.088888888889,118.85842565802008,0.9249898973718368,1.0,365,362,360,4,2,0.989010989010989,0.9836065573770492,"[2430, 2430]"
OG,14b.tif,0.1081177007563395,0.0999949857917721,0.8877219946271676,0.9353642666126588,30.427901551212617,32.86991270049195,31.853567973450968,32.03169244542008,988.3193717277488,988.3193717277488,114.68080196493868,0.9318615271898966,1.0,30.94813455416906,33.71620162601767,32.51310953128046,32.65718138200247,1040.925925925926,1040.925925925926,118.47955015975845,0.922842117354515,1.0,191,190,189,2,1,0.9895287958115184,0.984375,"[2430, 2430]"
OG,15.tif,0.1082535755634775,0.0981054679126682,0.88774706318227,0.9338651700356488,29.252669283784524,32.25237953039804,31.03189942365425,31.190336650935187,984.255172413793,984.255172413793,114.82113094290251,0.9253267431364104,1.0,30.721482266574576,33.67422861611389,32.45839655069478,32.63187152164553,1050.4755244755245,1050.4755244755245,119.05273785087785,0.9227397274488708,1.0,290,286,286,4,0,0.986206896551724,0.986206896551724,"[2430, 2430]"
OG,16.tif,0.1098590943503116,0.0957903727101331,0.8709358396402876,0.923760930876642,29.606141831320578,32.62934511195086,31.399091817574188,31.58888771117095,998.4401197604792,998.4401197604792,115.38054867867834,0.9293375972011072,1.0,31.13314132475479,34.11993811584247,32.83413936298493,32.99393215839087,1061.528875379939,1061.528875379939,119.75773775432336,0.9232255577340344,1.0,334,329,287,3,1,0.9896551724137932,0.986254295532646,"[2430, 2430]"
OG,18.tif,0.1091350192059778,0.0996770895720276,0.8861272861978178,0.9368235101766272,29.571344256525713,32.18143655943935,31.108839283235657,31.283357356950024,962.5372750642672,962.5372750642672,113.33495858618492,0.9313151502814944,1.0,30.997960899455737,33.698309018895095,32.54062205550247,32.67662497267186,1030.7364341085272,1030.7364341085272,117.84308023883654,0.9258096942641724,1.0,389,388,387,2,1,0.9948586118251928,0.9923076923076924,"[2430, 2430]"
OG,9.tif,0.1192468394773543,0.1041192269974151,0.8675275575985723,0.9250181951307116,28.14616541764038,31.03853688255985,29.88478899155045,30.07663384460107,930.6573426573426,930.6573426573426,111.40217931572111,0.9251316520717604,1.0,30.737677743915093,33.50157713664557,32.31174426336019,32.440838932754204,1009.5985915492956,1009.5985915492956,116.54980889084054,0.92366110265768,1.0,143,142,142,1,0,0.993006993006993,0.993006993006993,"[2430, 2430]"
downsampling_16,10.tif,27.84193121693122,16.453703703703702,0.5173544973544973,0.5567612634279301,2.059830847898336,2.1754485322430197,2.11533850361305,2.1107361306977928,3.919444444444444,3.919444444444444,3.986497713974724,inf,1.0,2.0149941561040032,2.056228085390013,2.0349863642426747,2.0337368512340075,3.891402714932126,3.891402714932126,3.8542436316060185,inf,1.0,360,278,221,38,57,0.8532818532818532,0.6993670886075949,"[151, 151]"
downsampling_16,14b.tif,27.854623330813805,18.42151675485009,0.5944066515495087,0.6436748436748437,2.043832123002444,2.202691311455563,2.1203395756955072,2.1144952926285145,3.9153439153439153,3.9153439153439153,4.007429165579929,inf,1.0,2.0,2.042955480542395,2.0214777402711976,2.0214777402711976,3.977777777777778,3.977777777777778,3.964106140241116,inf,1.0,189,158,135,23,23,0.8544303797468354,0.7458563535911602,"[151, 151]"
downsampling_16,15.tif,29.137529137529132,17.22027972027972,0.5618048618048618,0.5998726021453293,2.0463455734123746,2.176898353540431,2.1111391970866906,2.110173664307266,3.8286713286713288,3.8286713286713288,3.8788508197411553,inf,1.0,2.004430091576183,2.0443009157618284,2.0228888064769444,2.019935412092823,3.941176470588235,3.941176470588235,3.885583296261265,inf,1.0,286,231,187,35,44,0.8423423423423423,0.7030075187969925,"[151, 151]"
downsampling_16,16.tif,27.91684649690692,16.15810674723061,0.4932671558049201,0.5314382495651377,2.0500560196221262,2.161783523993358,2.1025893228758537,2.0959284250120764,3.9274924471299095,3.9274924471299095,3.9541186562631303,inf,1.0,2.0128107287331884,2.0298917003774397,2.021351214555314,2.021351214555314,3.804123711340206,3.804123711340206,3.787901101764875,inf,1.0,331,250,194,46,56,0.8083333333333333,0.6554054054054054,"[151, 151]"
downsampling_16,18.tif,28.714347718253965,14.908854166666666,0.4754526289682539,0.5111351611351611,2.0418834925017846,2.1631850125364833,2.100382595692208,2.096079282038355,3.7916666666666665,3.7916666666666665,3.792198302573844,inf,1.0,2.003835310762714,2.0383531076271386,2.021094209194926,2.021094209194926,3.9027777777777777,3.9027777777777777,3.8682365983490783,inf,1.0,384,296,216,46,80,0.8244274809160306,0.631578947368421,"[151, 151]"
downsampling_16,9.tif,30.34523809523809,17.428571428571427,0.5271768707482993,0.568924963924964,2.0355040196319796,2.1124293955012683,2.071994262031514,2.068049370961294,3.6857142857142855,3.6857142857142855,3.5280712729190076,inf,1.0,2.0,2.0094139445993884,2.004706972299694,2.004706972299694,3.784090909090909,3.784090909090909,3.639190197062831,inf,1.0,140,112,88,16,24,0.8461538461538461,0.6875,"[151, 151]"
downsampling_2,10.tif,0.4343450664497222,0.3776195952461746,0.8619504965763021,0.91449973175116,14.609551449089318,16.29604096820339,15.555790687879355,15.68499861581486,248.76986301369865,248.76986301369865,56.128317781701696,0.9801998823918038,1.0,15.145713557226207,17.0846835764752,16.231421859698095,16.353362079387903,263.94943820224717,263.94943820224717,58.31296732356002,0.9711808513712684,1.0,365,356,356,7,0,0.9807162534435262,0.9807162534435262,"[1215, 1215]"
downsampling_2,14b.tif,0.4332051741295546,0.3693777739508664,0.8522745075620554,0.9036712258481688,14.725962098514154,16.435195711306125,15.681375627286858,15.78812028221478,246.9842931937173,246.9842931937173,55.84957216537175,0.9825725448880444,1.0,15.150541029087536,17.15957354338873,16.264836397717588,16.389522874337164,265.73369565217394,265.73369565217394,58.65797333690477,0.9688706547228716,1.0,191,183,57,7,0,0.890625,0.890625,"[1215, 1215]"
downsampling_2,15.tif,0.4330890841166117,0.3859256017880467,0.8766771068737581,0.9275730991287272,14.19872526855088,16.134857197106225,15.328248350084063,15.476897273228728,245.88275862068969,245.88275862068969,55.88778197330493,0.9765471146425028,1.0,14.92282972106481,17.031185312508455,16.128150857178333,16.274446931051127,263.52097902097904,263.52097902097904,58.32639125535256,0.9674841065221929,1.0,290,286,286,3,0,0.9896193771626296,0.9896193771626296,"[1215, 1215]"
downsampling_2,16.tif,0.4403803154748662,0.3738171848682819,0.8337422916352307,0.8908030333707848,14.536548162174885,16.316874144766953,15.551097965047036,15.686866246296969,249.5748502994012,249.5748502994012,56.20554191211907,0.9808031828869102,1.0,14.7894644844124,17.044467439120574,16.05483774895894,16.18995688604157,262.9625,262.9625,58.2064178312011,0.9699700395386988,1.0,334,319,277,7,0,0.9753521126760564,0.9753521126760564,"[1215, 1215]"
